"Baofeng BF-888C, 2 bucati in set,noi.","BAOFENG BF888S – миниатюрная рация с дальностью связи до 7 километров. Устройство оснащено емким аккумулятором 1500 мАч, что гарантирует до 10 часов автономной работы рации на одном заряде аккумулятора. Благодаря компактным габаритам и весу всего в 150 грамм, устройство всегда можно взять с собой в путешествие, на охоту или рыбалку.
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Рации,"Рация  – это простая, удобная, компактная и недорогая модель, которая предназначена для семейного использования. Устройство можно применять в магазине, на пляже, в лесу на отдыхе, благодаря чему ребенок всегда будет на связи и не потеряется среди толпы.

", 930 
Рация .антена,рация. антена, 1 000 
Radio staţiile Motorola. Livram! Posibil si in credit. Cele mai bune preturi.,Radio staţiile Motorola: , договорная 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Statie radio Motorola Talkabout T82 Twin disponibil în credit,"Codul produsului : 78058
Pentru mai multe detalii despre produs accesați linkul :", 2 550 
G6XT,SAU scimb..., договорная 
Baofeng uv-x9 plus10watt dual ptt новые и мощные,"дальность 10-15 км
Дисплей Да
Тип рации ПортативнаяАртикул BAOFENG UV-X9 Plus 10W 
Размеры 58mmX110mmX32mmДиапазон Частоты 136-174MHz & 400-520MHz
Канал Хранения 128
Материал Пластик
Бренд BAOFENG
Output power 10Watts
Color Black/CamoVersion upgraded of uv-82Battery 2800mAhPTT 2-PTTType Two Way Radio", 45 
Радиостанция,"Используется для тестирование отказоустойчивость

Приватные беседы
Сдача экзаменов
Анти отслеживание
Блокировка телефонов
Блокировка автомобильных брелков
...

Глушит CDMA / GSM / DCS / 2G / 3G / 4G / WIFI / GPS/ BD и другие беспроводные сигнала

WIFI Jammer
GPS Jammer
GSM Jammer
3G Jammer
2G Jammer
WIFI Глушилка
GPS Глушилка
GSM Глушилка
3G Глушилкп
2G Jammer
WIFI Bruiaj
GPS Bruiaj
GSM Bruiaj
3G Bruiaj
2G Bruiaj
Signal Jammer
Aparat de bruiaj", 200 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 600 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Генераторная лампа гм 100 (gm 100),"ГМ-100 - генераторная лампа средней мощности, работающая в схемах усиления мощности низкой (звуковой) частоты

Звонить", договорная 
Радиостанция,Радиостанция, договорная 
Продаю рации Busch X100 новые в упаковке.,Продаю рации Busch X100 новые в упаковке. Возможен обмен. Радиус до 2км, 400 
Хит 2019!!!baofeng uv-x9 plus10watt dual ptt новые и мощные,"дальность 10-15 км
Дисплей Да
Тип рации ПортативнаяАртикул BAOFENG UV-X9 Plus 10W 
Размеры 58mmX110mmX32mmДиапазон Частоты 136-174MHz & 400-520MHz
Канал Хранения 128
Материал Пластик
Бренд BAOFENG
Output power 10Watts
Color Black/CamoVersion upgraded of uv-82Battery 2800mAhPTT 2-PTTType Two Way Radio", 45 
Радиостанции и комплектующие к ним.,"Motorola, Kenwood, Icom, Alinko, Vertex, Standard, Baufeng, acumulatoare si incarcatoare pentru ele. Cabluri, programmare.", договорная 
Рации Motorola Talkabout T82 Extreme Statii radio SET,"# Доставка по всей Молдове за 24 часа
# Бесплатная доставка по Кишиневу за 4 часа.
# Гарантия 1 год
# Возможна покупка в кредит
**********************************************************
# Livrarea în toată Moldova în 24 de ore
# Livrare gratuită în Chișinău — 4 ore.
# Garanție 1 an
# Posibilă cumpărare în credit


Сылка для заказа/ Link direct :
______________________________
", 2 890 
Советский ключ для азбуки морзе,"Ключ для азбуки Морзе. Производство СССР. Полностью рабочий
обмен на рацию baofeng uv-5r (или подобную) с моей небольшой доплатой", 30 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 640 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
"Baofeng UV-5R, рация професиональная двух диапозонная новые","Радиостанция Baofeng UV-5R, рация професиональная двух диапозонная новые

Технические характеристики Baofeng UV-5R

*Диапазон: FM: 65-108 МГц (прием)
*VHF: 136-174 МГц (прием/передача) - можно расширить до 127-180 МГц
*UHF: 400-480 МГц (прием/передача) - можно расширить до 380-524 МГц
*Количество каналов 128
*СTCSS коды
*DCS коды
*Шаг частотной сетки, кГц: 2,5/5/6.25/10/12.5/20/25/50 кГц
*Чувствительность приемника 0,2 мкВ
*Сопротивление антенны 50 Ом
*Режимы работы симплексный или полу-дуплексный
*Тип модуляции FM
*Выходная мощность звука 1 Вт
*Li-Ion аккумулятор 1800 mA DC 7.4 В
*Средняя выходная мощность передатчика 5 Вт/1 Вт (переключается)
*Радиус действия со штатной антенной (город 3-6 км, прямая видимость более 10 км)
*Прослушивание двух частот одновременно
*Отключаемый щумоподавитель для прослушивания слабых сигналов
*Режим экономии энергии
*Звуковой сигнал при нажатии кнопок
*Голосовое озвучивание нажатых кнопок на английском или китайском
*3 режима сканирование по каналам или частотам
*Возможность подключения гарнитуры
*Возможно изменять настройки или список каналов с компьютера (при наличии кабеля программирования)
*Поддерживается разнос частот приемника и передатчика при работе через репитеры.
*Подсветка ЖКИ дисплея (3 цвета) и клавиатуры
*VOX функция автоматического включения передачи при начале разговора
*FM-радиоприемник
*Светодиодный фонарик (з режима:выкл,горит,мигает)
*Размеры, мм: 100 х 52 x 32
*Вес: 250 грамм (с антенной)

Комплект поставки
Радиостанция Baofeng UV-5R
Аккумулятор 7,4 В 1800 mA
Антенна
Клипса
Гарнитура РТТ
Руководства пользователя 
Зарядная станция", 590 
Радиостанция Baofeng UV-82 - с мощностью на 8W,"UV-82 имеет все необходимые функции для работы в эфире: сканирование по частоте и каналам, функция голосовой активации передачи VOX, одновременный приём на 2-х каналах, 128 ячеек памяти, DCS и CTCSS субтоны, повышенная выходная мощность (5 Вт) и аккумулятор увеличенной емкости (2800 mAh).

Главным новшеством радиостанции можно считать двойную кнопку PTT, благодаря которой можно производить передачу сигнала на любой из двух выбранных активных частот.

Особенности радиостанции Baofeng UV-82:
— Двух-диапазонный (трансивер) с экраном ЖКИ
— FM-радио приёмник (65 МГц – 108 МГц)
— Частотный и канальный режимы
— Поддержка сигналов DTMF
— Поддерживает 105 субтонов DCS и 50 субтонов CTCSS с возможностью ручной установки
— Функция сканирования субтонов CTCSS/DCS
— Функция VOX (передача включается по наличию звука).
— Функция Alarm (тревога)
— 128 ячеек памяти
— Широкополосная/узкополосная модуляция.
— Большая/малая (8W/5W/1W) мощность передатчика
— Аккумулятор 2800mAh/3800mAh
— Программируемый цвет подсветки дисплея и время её включения.
— Функция «бипп» на клавиатуре.
— Одновременный приём двух разных частот
— Выбираемый шаг изменения частоты: 2,5 / 5 / 6,25 / 10 / 12,5 / 25 / 50 кГц
— Функция OFFSET (сдвиг частоты для работы с репитерами)
— Функция сохранения заряда батареи (SAVE)
— Ограничение времени передачи, настраиваемое (функция TOT)
— Три режима сканирования частот.
— Функция «BCLO» (Busy Channel Lockout) (запрет передачи, если на данной частоте уже идёт передача)
— Встроенный светодиодный фонарик
— Настраиваемый порог работы шумоподавителя (от 0 до 9).
— Одновременный приём на разных диапазонах
— Тон окончания передачи
— Блокировка клавиатуры.

Комплектация в коробке:

*радиостанция
*клипса
*шнурок
*зарядная станция
*инструкция
*гарнитура

Все новое в коробке !


Цена за 1 шт.
UV-82 с мощностью 5W - 800 лей
UV-82 с мощностью 8W - 1000 лей

Штатная тангета - 250 лей

Инструкция - ", 800 
Voyager air soft vhf/uhf.134/172.400/480 betteru 2200mah+гарнетура  6 мес гарантия,VOYAGER AIR SOFT VHF/UHF.134/172.400/480 BETTERU 2200mah+ГАРНЕТУРА, договорная 
Советская радиостанция р-105м   срочно,"советская радиостанция Р-105М внутренности все на месте
600лей
небольшой торг
занимает место в гараже", 600 
Statii radio Motorola,"Statiile Radio Portabile – produsul acesta este simplu, comod, compact și ieftin, care poate fi usor folosit de intreaga familie. Aparatul poate fi utilizat într-un magazin, pe plajă, în pădure, în vacanță, astfel încât copilul dvs va fi întotdeauna în contact și nu se va pierde printre oameni.

", 930 
"Радиостанция Baofeng UV-5R, рация професиональная двух диапозонная","Teclast P80 Pro, 3G/32G, 8""IPS, 5000 mAh новыйTeclast!

- Операционная система: Android 7.0
- Процессор: MTK8163 Quad Core
- GPU: Mail-T720
- Оперативная память (RAM ): 3 ГБ
- Флеш память: 32 ГБ
- Слот для установки microSD карты (до 128 ГБ)
- Дисплей 8 дюймов IPS
- Разрешение: 1920 x 1200 (16:10)

- Камеры:
- Фронтальная: 0,3 мр
- Тыловая: 2,0мр

- Навигация: GPS
- Локальная сеть: WiFi: 802.11b/g/n 2.4 и 5 ГГц + Bluetooth 4.0

- Разъем 3.5мм для подключения наушников
- Разъем microUSB — OTG
- Разъем micro HDMI

- Батарея: 5000мАч

- Мультитач 10 касаний .

- Размер: длина х ширина х толщина: 212 x 124 x 9,0 мм (измеренные)
- Вес 369 грамм


Комплектация вся новая в коробке : 

*Планшет Teclast P80 Pro
*Зарядка 
*Кабель micro-USB 
*Инструкция, гарантийка и прочие
*Защитная пленка на экране 
*Чехол книжка 





Все новое !! 

Цена - 2100 лей





Что касается дисплея, он имеет диагональ 8 дюймов и разрешение Full HD, 1920х1200 пикселей. Это IPS панель, что очень хорошо. Дисплей оставляет приятное впечатление во время просмотра фильмов, игр и т.д.

Teclast P80 Pro оснащен процессором MediaTek MTK8163. Это четырехъядерный 28-разрядный процессор начального уровня, и он набирает около 40000 баллов в AnTuTu.

Кроме того, имеется 3 ГБ оперативной памяти и 32 ГБ встроенной памяти. Планшет поддерживает карты памяти microSD до 128 ГБ,

Teclast P80 Pro поддерживает двухдиапазонный Wi-Fi. Среди других соединений доступен порт microUSB, microHDMI порт и 3.5-мм аудиоразъем.

Teclast P80 Pro имеет аккумулятор емкостью 5300 мАч.", 700 
Рация Baofeng BF-888s - 2 штуки в наборе,"Рация Baofeng BF-888s  изготовлена в профессиональном исполнении, т.е. без клавиатуры и дисплея, что значительно повышает ее надежность в походных и экстремальных условиях.

Благодаря отличному качеству исполнения и хорошей, устойчивой связи данная радиостанция будет незаменима для охоты, рыбалки и грибников. Кроме того, она может быть использована спортсменами, строителями, работниками дорожных служб, охранных агентств и другим различным персоналом, где за небольшие деньги нужно организовать надежную радиосвязь.

Эта недорогая рация, станет незаменимым помощником во время работы, рация имеет небольшой вес и проста в использовании. Гарнитура поможет держать руки сотрудникам всегда свободными.

Прочная клипса на винтах удержит вашу рацию на одежде или на поясе, индикатор низкого заряда аккумулятора проинформирует вас о необходимости зарядки.

Li-ion аккумулятор повышенной емкости 1500 мАч способен обеспечить непрерывную работу радиостанции в течении 18 часов. 
 
Данная станция способна уверенно принимать и передавать сигнал на расстояние 7 км.

С USB-кабелям вы можете настроить рацию под свои нужды, в т.ч. под частоты которые используются вашими коллегами.
Программирование радиостанции осуществляется при помощи кабеля KPG-22U


Характеристики:
Диапазон частот: 400-470 МГц. UHF
16 Каналов
Режим сканирования каналов
Мощность передатчика: 5 Вт / 0,5 Вт
Сменная антенна 50 Ом со стандартным разъёмом SMA
Встроенный светодиодный фонарик
Аккумулятор Li-ion 3.7В 1500мА/ч
Размер без антенны 115мм х 60мм х 33мм
Вес без антенны 150г


 В комплекте 2 радиостанции: 

2 х Рация Baofeng BF-888S 
2 х Аккумулятор
2 х Гарнитура
2 х Зарядное устройство
2 х Антенна
2 х Клипса для ношения на поясе
2 х Шнурок для ношения на руке
Коробка
Инструкция

Цена комплекта - 700 леев
Все новое в коробке !

Так же желающим есть
USB-кабеля с CD диском для программирование
Цена - 200 л

Усиленнаhttps:я антенна до 3 dB, Nagoya NA-771
144/430MHz с разъемом SMA-F
Макс. мощ: 10 Вт
Длина: 39 см
Цена - 200 л", 700 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 640 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Рации Motorola,"Рация – это простая, удобная, компактная и недорогая модель, которая предназначена для семейного использования. Устройство можно применять в магазине, на пляже, в лесу на отдыхе, благодаря чему ребенок всегда будет на связи и не потеряется среди толпы.

", 930 
Statie radio Kenwood TM-271A plus shshka 14448,"Statie radio foarte puternica

shashka 14448

Stationara
Pretul e pentru toate trei
Рации для такси. В хорошем состоянии. И очень мощный", 2 500 
"Baofeng BF-888S 300 лей, UV-5R 600 лей, наушники, гарнитура","Baofeng BF-888S 300 лей, UV-5R 600 лей, за одну рацию, докупаете сколько нужно рации, продаю только от двух рации и больше можно докупить гарнитуру, наушники программирование, настройка рации", 300 
"Рации портативные, statie radio portabila","-

 Две рации: Baofeng 888 S новые в коробке – 640 лей

Две рации: Baofeng UV-5RE - 1150 лей

Программирование раций 


- Li-Ion аккумулятор на 1800 mAh;
- Мощность радиостанции на передачу до 8W;
- Превосходная модуляция (хороший звук);
- Радиус действия (лес 5-7км, прямая видимость до 15-25км);
- Функция «Два канала»;
- Отображение двух частот сразу на экране;
- Режим сохранения энергии;
- Звуковой сигнал при нажатии кнопок;
- Сканирование каналов;
- Возможность взаимодействия с обычными канальными рациями;
- Подключения дополнительной гарнитуры;
- Подсветка трехцветная ЖКИ дисплея и клавиатуры;
- VOX функция автоматического включения при начале разговора;
- FM-радиоприемник;
Комплект включает в себя: 

- 2 х рации Baofeng UV-5RE
- 2 х гарнитуры для раций
- 2 х аккумулятора 
- 2 х антенна 
- 2 х Зарядное устройство 220 v
- 2 х Ремень для переноски  и клипса
- 2 х Инструкция на английском  и русском языке", договорная 
Baofeng UV-5RE,"Продам рацию Baofeng UV-5RE 
Новая. Весь комплект (за исключением коробки) 

Цена: 499 лей", 499 
Разрешенные рации в Молдове Baofeng MiNi BF-T2 ловят до 5 км все функции как у проф рации есть,"Мощность: 0.5 Вт
Дальность связи: до 5 км
Стандарт: PMR446
Назначение: Переносные безлицензионные
Вес: 80 г


Функции:

ЖК-дисплей
Светодиодный фонарик
Сканирование каналов
VOX
Автоматическое шумоподавление
Мониторинг канала

Конструктивные особенности:

Блок клавиатуры
Индикатор заряда батареи
Клипса
Гнездо для гарнитуры 2.5 мм
Совместимость со стандартными батареями ААА (4шт)

Сигналы:

10 тонов вызова
8 уровней громкости динамика
Тон клавиатуры
Звуковой сигнал окончания режима передачи


+ наушники спецальные c PTT подарок (1шт)", 600 
Ratii,lukreaza bine, 600 
рация .антена,рация.антена, 1 000 
Рации разные дешево от 500 лей за пару новые,"Рации разные  дешево от 500 лей за пару новые в упаковке, для баров, ресторанов, охраны, путешествия,  гарнитура, наушники
есть модели с зарядкой для автомобиля, с наушниками, гарнитурой  
Тел.069533777", 500 
Dau in arenda 14 rații 10 km,"Dau in arenda 14 rații  10 sunt setate pe 1 unda 4 sunt setate pe alte unde, Rațiile au 16 canale Autonomia bateriei este de 24 ore de discuție in continu. Sunt perfecte pentru drum,schiuri in munți, organizare evenimente , petreceri Comunicare urgentă undele sunt cu destinație civilă !", 10 
Рация Voxtel,"В хорошем состояние. Хранились в шкафу. Исполизивались пару раз! При покупке приходить со своими батарейками)))


Tags iphone apple aur argint nokia samsung acer asus sony panasonic", 350 
"Продам радионяню итальянской фирмы ""Prenatal"".","Отличная по качеству радионяня, поможет вам спокойно передвигаться по дому, а также в радиусе до 300 метров при этом оставаться в присутствии ребенка,быть всегда в курсе происходящего с вашим ребенком.Радионяня ""Prenatal"" будет вам надёжным помощником.", 700 
"Радиостанция Baofeng UV-5R, рация професиональная двух диапозонная новые","Радиостанция Baofeng UV-5R, рация професиональная двух диапозонная новые

Технические характеристики Baofeng UV-5R

*Диапазон: FM: 65-108 МГц (прием)
*VHF: 136-174 МГц (прием/передача) - можно расширить до 127-180 МГц
*UHF: 400-480 МГц (прием/передача) - можно расширить до 380-524 МГц
*Количество каналов 128
*СTCSS коды
*DCS коды
*Шаг частотной сетки, кГц: 2,5/5/6.25/10/12.5/20/25/50 кГц
*Чувствительность приемника 0,2 мкВ
*Сопротивление антенны 50 Ом
*Режимы работы симплексный или полу-дуплексный
*Тип модуляции FM
*Выходная мощность звука 1 Вт
*Li-Ion аккумулятор 1800 mA DC 7.4 В
*Средняя выходная мощность передатчика 5 Вт/1 Вт (переключается)
*Радиус действия со штатной антенной (город 3-6 км, прямая видимость более 10 км)
*Прослушивание двух частот одновременно
*Отключаемый щумоподавитель для прослушивания слабых сигналов
*Режим экономии энергии
*Звуковой сигнал при нажатии кнопок
*Голосовое озвучивание нажатых кнопок на английском или китайском
*3 режима сканирование по каналам или частотам
*Возможность подключения гарнитуры
*Возможно изменять настройки или список каналов с компьютера (при наличии кабеля программирования)
*Поддерживается разнос частот приемника и передатчика при работе через репитеры.
*Подсветка ЖКИ дисплея (3 цвета) и клавиатуры
*VOX функция автоматического включения передачи при начале разговора
*FM-радиоприемник
*Светодиодный фонарик (з режима:выкл,горит,мигает)
*Размеры, мм: 100 х 52 x 32
*Вес: 250 грамм (с антенной)

Комплект поставки
Радиостанция Baofeng UV-5R
Аккумулятор 7,4 В 1800 mA
Антенна
Клипса
Гарнитура РТТ
Руководства пользователя 
Зарядная станция
   
Все Новое в коробке !", 595 
